Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US250010101001,250010101001,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",998,193,858,152,0,12,8,14,22,35,0,12,45,68,65,69,43,66,22,23
1500000US250010101002,250010101002,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",314,105,262,83,16,27,0,12,11,15,0,12,0,12,25,43,0,12,25,43
1500000US250010101003,250010101003,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",750,182,703,173,24,39,0,12,10,17,0,12,0,12,13,22,0,12,13,22
1500000US250010101004,250010101004,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",500,156,428,158,10,13,0,12,5,9,0,12,0,12,57,76,0,12,57,76
1500000US250010101005,250010101005,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",390,112,366,107,0,12,0,12,0,12,0,12,0,12,24,29,0,12,24,29
1500000US250010102061,250010102061,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",669,263,623,246,34,48,0,12,12,18,0,12,0,12,0,12,0,12,0,12
1500000US250010102062,250010102062,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",1247,287,1101,262,27,27,0,12,13,19,0,12,0,12,106,64,9,13,97,61
1500000US250010102063,250010102063,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",1255,329,1164,300,9,14,0,12,82,83,0,12,0,12,0,12,0,12,0,12
1500000US250010102081,250010102081,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",494,189,493,189,0,12,0,12,0,12,0,12,0,12,1,4,0,12,1,4
1500000US250010102082,250010102082,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",588,192,588,192,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010102083,250010102083,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",498,191,464,181,20,32,10,17,0,12,0,12,0,12,4,7,0,12,4,7
1500000US250010103041,250010103041,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",1078,200,1057,197,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010103042,250010103042,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",648,166,636,165,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12
1500000US250010103043,250010103043,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",606,208,506,173,0,12,0,12,100,145,0,12,0,12,0,12,0,12,0,12
1500000US250010103061,250010103061,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",930,222,818,218,89,102,0,12,13,19,0,12,10,17,0,12,0,12,0,12
1500000US250010103062,250010103062,"Block Group 2, Census Tract 103.06, Barnstable County, Massachusetts",957,207,879,188,0,12,0,12,0,12,0,12,33,50,45,64,0,12,45,64
1500000US250010103063,250010103063,"Block Group 3, Census Tract 103.06, Barnstable County, Massachusetts",689,222,689,222,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104001,250010104001,"Block Group 1, Census Tract 104, Barnstable County, Massachusetts",831,237,831,237,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104002,250010104002,"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",847,197,654,158,193,135,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104003,250010104003,"Block Group 3, Census Tract 104, Barnstable County, Massachusetts",649,286,622,281,0,12,0,12,27,48,0,12,0,12,0,12,0,12,0,12
1500000US250010104004,250010104004,"Block Group 4, Census Tract 104, Barnstable County, Massachusetts",710,217,710,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010105001,250010105001,"Block Group 1, Census Tract 105, Barnstable County, Massachusetts",1496,226,1473,219,0,12,0,12,0,12,0,12,23,37,0,12,0,12,0,12
1500000US250010105002,250010105002,"Block Group 2, Census Tract 105, Barnstable County, Massachusetts",496,183,496,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010105003,250010105003,"Block Group 3, Census Tract 105, Barnstable County, Massachusetts",798,188,784,189,5,10,0,12,0,12,0,12,9,16,0,12,0,12,0,12
1500000US250010106001,250010106001,"Block Group 1, Census Tract 106, Barnstable County, Massachusetts",554,153,554,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010106002,250010106002,"Block Group 2, Census Tract 106, Barnstable County, Massachusetts",956,244,956,244,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010106003,250010106003,"Block Group 3, Census Tract 106, Barnstable County, Massachusetts",1280,227,1099,186,122,96,0,12,20,32,0,12,0,12,39,37,5,8,34,36
1500000US250010106004,250010106004,"Block Group 4, Census Tract 106, Barnstable County, Massachusetts",301,112,301,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010107001,250010107001,"Block Group 1, Census Tract 107, Barnstable County, Massachusetts",1000,254,982,254,13,21,0,12,0,12,0,12,0,12,5,20,0,12,5,20
1500000US250010107002,250010107002,"Block Group 2, Census Tract 107, Barnstable County, Massachusetts",983,215,854,212,47,112,0,12,0,12,0,12,0,12,82,84,0,12,82,84
1500000US250010107003,250010107003,"Block Group 3, Census Tract 107, Barnstable County, Massachusetts",495,164,478,158,0,12,0,12,17,20,0,12,0,12,0,12,0,12,0,12
1500000US250010107004,250010107004,"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",580,189,580,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108001,250010108001,"Block Group 1, Census Tract 108, Barnstable County, Massachusetts",908,247,908,247,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108002,250010108002,"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",418,255,418,255,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108003,250010108003,"Block Group 3, Census Tract 108, Barnstable County, Massachusetts",683,238,646,223,37,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12
