Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US250010101001,250010101001,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",52340,7086
1500000US250010101002,250010101002,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",37841,30147
1500000US250010101003,250010101003,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",58098,19958
1500000US250010101004,250010101004,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",30396,11481
1500000US250010101005,250010101005,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",47895,10476
1500000US250010102061,250010102061,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",41364,13378
1500000US250010102062,250010102062,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",57750,14776
1500000US250010102063,250010102063,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",70913,7979
1500000US250010102081,250010102081,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",62961,12098
1500000US250010102082,250010102082,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",51534,15978
1500000US250010102083,250010102083,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",63689,13929
1500000US250010103041,250010103041,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",74250,12250
1500000US250010103042,250010103042,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",34226,22523
1500000US250010103043,250010103043,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",94750,34912
1500000US250010103061,250010103061,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",61094,35032
1500000US250010103062,250010103062,"Block Group 2, Census Tract 103.06, Barnstable County, Massachusetts",65000,8877
1500000US250010103063,250010103063,"Block Group 3, Census Tract 103.06, Barnstable County, Massachusetts",50272,13147
1500000US250010104001,250010104001,"Block Group 1, Census Tract 104, Barnstable County, Massachusetts",49875,25636
1500000US250010104002,250010104002,"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",32426,5458
1500000US250010104003,250010104003,"Block Group 3, Census Tract 104, Barnstable County, Massachusetts",49193,20365
1500000US250010104004,250010104004,"Block Group 4, Census Tract 104, Barnstable County, Massachusetts",81786,26983
1500000US250010105001,250010105001,"Block Group 1, Census Tract 105, Barnstable County, Massachusetts",70806,24100
1500000US250010105002,250010105002,"Block Group 2, Census Tract 105, Barnstable County, Massachusetts",72132,29913
1500000US250010105003,250010105003,"Block Group 3, Census Tract 105, Barnstable County, Massachusetts",111328,34160
1500000US250010106001,250010106001,"Block Group 1, Census Tract 106, Barnstable County, Massachusetts",101071,46886
1500000US250010106002,250010106002,"Block Group 2, Census Tract 106, Barnstable County, Massachusetts",89028,45199
1500000US250010106003,250010106003,"Block Group 3, Census Tract 106, Barnstable County, Massachusetts",66938,9267
1500000US250010106004,250010106004,"Block Group 4, Census Tract 106, Barnstable County, Massachusetts",-,**
1500000US250010107001,250010107001,"Block Group 1, Census Tract 107, Barnstable County, Massachusetts",59896,36529
1500000US250010107002,250010107002,"Block Group 2, Census Tract 107, Barnstable County, Massachusetts",87273,11351
1500000US250010107003,250010107003,"Block Group 3, Census Tract 107, Barnstable County, Massachusetts",78958,41909
1500000US250010107004,250010107004,"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",58036,24038
1500000US250010108001,250010108001,"Block Group 1, Census Tract 108, Barnstable County, Massachusetts",64625,15026
1500000US250010108002,250010108002,"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",51585,26505
1500000US250010108003,250010108003,"Block Group 3, Census Tract 108, Barnstable County, Massachusetts",57010,14456
1500000US250010108004,250010108004,"Block Group 4, Census Tract 108, Barnstable County, Massachusetts",79274,52931
1500000US250010108005,250010108005,"Block Group 5, Census Tract 108, Barnstable County, Massachusetts",91250,26943
1500000US250010109001,250010109001,"Block Group 1, Census Tract 109, Barnstable County, Massachusetts",81023,33751
1500000US250010109002,250010109002,"Block Group 2, Census Tract 109, Barnstable County, Massachusetts",79076,57277
1500000US250010109003,250010109003,"Block Group 3, Census Tract 109, Barnstable County, Massachusetts",68844,13650
1500000US250010109004,250010109004,"Block Group 4, Census Tract 109, Barnstable County, Massachusetts",67745,14731
1500000US250010110021,250010110021,"Block Group 1, Census Tract 110.02, Barnstable County, Massachusetts",59063,21548
1500000US250010110022,250010110022,"Block Group 2, Census Tract 110.02, Barnstable County, Massachusetts",64722,16525
1500000US250010110023,250010110023,"Block Group 3, Census Tract 110.02, Barnstable County, Massachusetts",49769,14021
1500000US250010110024,250010110024,"Block Group 4, Census Tract 110.02, Barnstable County, Massachusetts",74875,16673
1500000US250010111001,250010111001,"Block Group 1, Census Tract 111, Barnstable County, Massachusetts",84167,40253
1500000US250010111002,250010111002,"Block Group 2, Census Tract 111, Barnstable County, Massachusetts",75395,23664
1500000US250010111003,250010111003,"Block Group 3, Census Tract 111, Barnstable County, Massachusetts",82635,25915
1500000US250010111004,250010111004,"Block Group 4, Census Tract 111, Barnstable County, Massachusetts",87168,12320
1500000US250010112001,250010112001,"Block Group 1, Census Tract 112, Barnstable County, Massachusetts",76406,21805
1500000US250010112002,250010112002,"Block Group 2, Census Tract 112, Barnstable County, Massachusetts",80417,30815
1500000US250010112003,250010112003,"Block Group 3, Census Tract 112, Barnstable County, Massachusetts",38846,19131
1500000US250010112004,250010112004,"Block Group 4, Census Tract 112, Barnstable County, Massachusetts",58833,7608
1500000US250010113001,250010113001,"Block Group 1, Census Tract 113, Barnstable County, Massachusetts",81122,23729
1500000US250010113002,250010113002,"Block Group 2, Census Tract 113, Barnstable County, Massachusetts",61833,9124
1500000US250010113003,250010113003,"Block Group 3, Census Tract 113, Barnstable County, Massachusetts",74500,22025
1500000US250010114001,250010114001,"Block Group 1, Census Tract 114, Barnstable County, Massachusetts",54292,18025
1500000US250010114002,250010114002,"Block Group 2, Census Tract 114, Barnstable County, Massachusetts",62250,17462
1500000US250010114003,250010114003,"Block Group 3, Census Tract 114, Barnstable County, Massachusetts",-,**
1500000US250010114004,250010114004,"Block Group 4, Census Tract 114, Barnstable County, Massachusetts",62891,24979
1500000US250010115001,250010115001,"Block Group 1, Census Tract 115, Barnstable County, Massachusetts",49531,17634
1500000US250010115002,250010115002,"Block Group 2, Census Tract 115, Barnstable County, Massachusetts",-,**
1500000US250010115003,250010115003,"Block Group 3, Census Tract 115, Barnstable County, Massachusetts",48125,12558
1500000US250010115004,250010115004,"Block Group 4, Census Tract 115, Barnstable County, Massachusetts",54018,11276
1500000US250010115005,250010115005,"Block Group 5, Census Tract 115, Barnstable County, Massachusetts",48026,23095
