Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US25001010100,25001010100,"Census Tract 101, Barnstable County, Massachusetts",2952,18
1400000US25001010206,25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",3171,266
1400000US25001010208,25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",1580,263
1400000US25001010304,25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",2332,243
1400000US25001010306,25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",2576,248
1400000US25001010400,25001010400,"Census Tract 104, Barnstable County, Massachusetts",3037,289
1400000US25001010500,25001010500,"Census Tract 105, Barnstable County, Massachusetts",2790,285
1400000US25001010600,25001010600,"Census Tract 106, Barnstable County, Massachusetts",3091,229
1400000US25001010700,25001010700,"Census Tract 107, Barnstable County, Massachusetts",3058,229
1400000US25001010800,25001010800,"Census Tract 108, Barnstable County, Massachusetts",4734,393
1400000US25001010900,25001010900,"Census Tract 109, Barnstable County, Massachusetts",5122,393
1400000US25001011002,25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",4061,314
1400000US25001011100,25001011100,"Census Tract 111, Barnstable County, Massachusetts",4642,363
1400000US25001011200,25001011200,"Census Tract 112, Barnstable County, Massachusetts",3440,255
1400000US25001011300,25001011300,"Census Tract 113, Barnstable County, Massachusetts",2483,299
1400000US25001011400,25001011400,"Census Tract 114, Barnstable County, Massachusetts",3071,269
1400000US25001011500,25001011500,"Census Tract 115, Barnstable County, Massachusetts",3945,298
1400000US25001011600,25001011600,"Census Tract 116, Barnstable County, Massachusetts",2761,443
1400000US25001011700,25001011700,"Census Tract 117, Barnstable County, Massachusetts",1732,192
1400000US25001011801,25001011801,"Census Tract 118.01, Barnstable County, Massachusetts",2411,169
1400000US25001011802,25001011802,"Census Tract 118.02, Barnstable County, Massachusetts",3993,330
1400000US25001012001,25001012001,"Census Tract 120.01, Barnstable County, Massachusetts",5763,367
1400000US25001012002,25001012002,"Census Tract 120.02, Barnstable County, Massachusetts",2895,275
1400000US25001012101,25001012101,"Census Tract 121.01, Barnstable County, Massachusetts",5412,461
1400000US25001012102,25001012102,"Census Tract 121.02, Barnstable County, Massachusetts",2985,270
1400000US25001012200,25001012200,"Census Tract 122, Barnstable County, Massachusetts",4933,428
1400000US25001012502,25001012502,"Census Tract 125.02, Barnstable County, Massachusetts",3718,488
1400000US25001012601,25001012601,"Census Tract 126.01, Barnstable County, Massachusetts",3196,227
1400000US25001012602,25001012602,"Census Tract 126.02, Barnstable County, Massachusetts",4920,596
1400000US25001012700,25001012700,"Census Tract 127, Barnstable County, Massachusetts",4183,361
1400000US25001012800,25001012800,"Census Tract 128, Barnstable County, Massachusetts",3685,346
1400000US25001012900,25001012900,"Census Tract 129, Barnstable County, Massachusetts",3800,259
1400000US25001013002,25001013002,"Census Tract 130.02, Barnstable County, Massachusetts",2786,356
1400000US25001013100,25001013100,"Census Tract 131, Barnstable County, Massachusetts",5174,499
1400000US25001013200,25001013200,"Census Tract 132, Barnstable County, Massachusetts",4821,411
1400000US25001013300,25001013300,"Census Tract 133, Barnstable County, Massachusetts",3223,301
1400000US25001013400,25001013400,"Census Tract 134, Barnstable County, Massachusetts",3800,318
1400000US25001013500,25001013500,"Census Tract 135, Barnstable County, Massachusetts",6975,378
1400000US25001013600,25001013600,"Census Tract 136, Barnstable County, Massachusetts",6400,317
1400000US25001013700,25001013700,"Census Tract 137, Barnstable County, Massachusetts",4603,409
1400000US25001013800,25001013800,"Census Tract 138, Barnstable County, Massachusetts",4920,455
1400000US25001013900,25001013900,"Census Tract 139, Barnstable County, Massachusetts",5294,536
1400000US25001014002,25001014002,"Census Tract 140.02, Barnstable County, Massachusetts",4134,422
1400000US25001014100,25001014100,"Census Tract 141, Barnstable County, Massachusetts",881,185
1400000US25001014300,25001014300,"Census Tract 143, Barnstable County, Massachusetts",4216,493
1400000US25001014402,25001014402,"Census Tract 144.02, Barnstable County, Massachusetts",6919,579
1400000US25001014500,25001014500,"Census Tract 145, Barnstable County, Massachusetts",5326,576
1400000US25001014600,25001014600,"Census Tract 146, Barnstable County, Massachusetts",4207,335
1400000US25001014700,25001014700,"Census Tract 147, Barnstable County, Massachusetts",3425,389
1400000US25001014800,25001014800,"Census Tract 148, Barnstable County, Massachusetts",3513,345
1400000US25001014900,25001014900,"Census Tract 149, Barnstable County, Massachusetts",3648,301
1400000US25001015001,25001015001,"Census Tract 150.01, Barnstable County, Massachusetts",4381,303
1400000US25001015002,25001015002,"Census Tract 150.02, Barnstable County, Massachusetts",3838,229
1400000US25001015100,25001015100,"Census Tract 151, Barnstable County, Massachusetts",3645,269
1400000US25001015200,25001015200,"Census Tract 152, Barnstable County, Massachusetts",2190,243
1400000US25001015300,25001015300,"Census Tract 153, Barnstable County, Massachusetts",3109,314
1400000US25001990000,25001990000,"Census Tract 9900, Barnstable County, Massachusetts",0,12
1400000US25003900100,25003900100,"Census Tract 9001, Berkshire County, Massachusetts",3128,310
1400000US25003900200,25003900200,"Census Tract 9002, Berkshire County, Massachusetts",4231,408
1400000US25003900300,25003900300,"Census Tract 9003, Berkshire County, Massachusetts",2785,361
1400000US25003900400,25003900400,"Census Tract 9004, Berkshire County, Massachusetts",5230,419
1400000US25003900500,25003900500,"Census Tract 9005, Berkshire County, Massachusetts",3350,219
1400000US25003900600,25003900600,"Census Tract 9006, Berkshire County, Massachusetts",3437,369
1400000US25003900700,25003900700,"Census Tract 9007, Berkshire County, Massachusetts",2758,254
1400000US25003900800,25003900800,"Census Tract 9008, Berkshire County, Massachusetts",4723,329
1400000US25003900900,25003900900,"Census Tract 9009, Berkshire County, Massachusetts",5146,658
1400000US25003901100,25003901100,"Census Tract 9011, Berkshire County, Massachusetts",3592,210
1400000US25003911100,25003911100,"Census Tract 9111, Berkshire County, Massachusetts",3004,16
1400000US25003912100,25003912100,"Census Tract 9121, Berkshire County, Massachusetts",6657,16
1400000US25003913100,25003913100,"Census Tract 9131, Berkshire County, Massachusetts",4994,21
1400000US25003914100,25003914100,"Census Tract 9141, Berkshire County, Massachusetts",5796,22
1400000US25003920101,25003920101,"Census Tract 9201.01, Berkshire County, Massachusetts",4422,165
1400000US25003920102,25003920102,"Census Tract 9201.02, Berkshire County, Massachusetts",3201,167
1400000US25003921300,25003921300,"Census Tract 9213, Berkshire County, Massachusetts",4594,279
1400000US25003921400,25003921400,"Census Tract 9214, Berkshire County, Massachusetts",1477,235
1400000US25003921500,25003921500,"Census Tract 9215, Berkshire County, Massachusetts",3217,238
1400000US25003922100,25003922100,"Census Tract 9221, Berkshire County, Massachusetts",2512,199
1400000US25003922200,25003922200,"Census Tract 9222, Berkshire County, Massachusetts",3707,207
1400000US25003922300,25003922300,"Census Tract 9223, Berkshire County, Massachusetts",1992,151
1400000US25003923100,25003923100,"Census Tract 9231, Berkshire County, Massachusetts",3169,17
1400000US25003924100,25003924100,"Census Tract 9241, Berkshire County, Massachusetts",1980,236
1400000US25003925100,25003925100,"Census Tract 9251, Berkshire County, Massachusetts",6915,23
1400000US25003926100,25003926100,"Census Tract 9261, Berkshire County, Massachusetts",3190,27
1400000US25003931100,25003931100,"Census Tract 9311, Berkshire County, Massachusetts",1722,102
