"id","Geographic Area Name","Estimate; Total","Margin of Error; Total"
"1400000US25015821300","Census Tract 8213, Hampshire County, Massachusetts","3957","246"
"1400000US25003921500","Census Tract 9215, Berkshire County, Massachusetts","2953","203"
"1400000US25005652700","Census Tract 6527, Bristol County, Massachusetts","3331","506"
"1400000US25009260301","Census Tract 2603.01, Essex County, Massachusetts","4508","305"
"1400000US25021418101","Census Tract 4181.01, Norfolk County, Massachusetts","4655","347"
"1400000US25005631800","Census Tract 6318, Bristol County, Massachusetts","7583","500"
"1400000US25017339900","Census Tract 3399, Middlesex County, Massachusetts","5140","364"
"1400000US25017341101","Census Tract 3411.01, Middlesex County, Massachusetts","3751","336"
"1400000US25009265102","Census Tract 2651.02, Essex County, Massachusetts","4838","185"
"1400000US25023511000","Census Tract 5110, Plymouth County, Massachusetts","3042","327"
"1400000US25005645101","Census Tract 6451.01, Bristol County, Massachusetts","4679","395"
"1400000US25009208300","Census Tract 2083, Essex County, Massachusetts","8024","392"
"1400000US25013813500","Census Tract 8135, Hampden County, Massachusetts","5191","19"
"1400000US25021417902","Census Tract 4179.02, Norfolk County, Massachusetts","4013","287"
"1400000US25017324101","Census Tract 3241.01, Middlesex County, Massachusetts","5467","234"
"1400000US25017328100","Census Tract 3281, Middlesex County, Massachusetts","3345","23"
"1400000US25025030400","Census Tract 304, Suffolk County, Massachusetts","2715","267"
"1400000US25009218100","Census Tract 2181, Essex County, Massachusetts","5370","19"
"1400000US25025090700","Census Tract 907, Suffolk County, Massachusetts","3884","352"
"1400000US25021402300","Census Tract 4023, Norfolk County, Massachusetts","4537","246"
"1400000US25001012502","Census Tract 125.02, Barnstable County, Massachusetts","3657","431"
"1400000US25027710800","Census Tract 7108, Worcester County, Massachusetts","4990","508"
"1400000US25015822700","Census Tract 8227, Hampshire County, Massachusetts","3147","152"
"1400000US25009210400","Census Tract 2104, Essex County, Massachusetts","7184","465"
"1400000US25017333501","Census Tract 3335.01, Middlesex County, Massachusetts","5685","330"
"1400000US25021400400","Census Tract 4004, Norfolk County, Massachusetts","5565","446"
"1400000US25017342500","Census Tract 3425, Middlesex County, Massachusetts","8129","672"
"1400000US25017314301","Census Tract 3143.01, Middlesex County, Massachusetts","8257","442"
"1400000US25027731800","Census Tract 7318, Worcester County, Massachusetts","7048","746"
"1400000US25017320102","Census Tract 3201.02, Middlesex County, Massachusetts","5524","274"
"1400000US25009269100","Census Tract 2691, Essex County, Massachusetts","7031","20"
"1400000US25013813204","Census Tract 8132.04, Hampden County, Massachusetts","3226","181"
"1400000US25017311700","Census Tract 3117, Middlesex County, Massachusetts","5239","373"
"1400000US25025010408","Census Tract 104.08, Suffolk County, Massachusetts","1392","127"
"1400000US25027742401","Census Tract 7424.01, Worcester County, Massachusetts","5463","286"
"1400000US25009204600","Census Tract 2046, Essex County, Massachusetts","5093","470"
"1400000US25013800300","Census Tract 8003, Hampden County, Massachusetts","4255","346"
"1400000US25017342600","Census Tract 3426, Middlesex County, Massachusetts","4900","527"
"1400000US25023506203","Census Tract 5062.03, Plymouth County, Massachusetts","5286","393"
"1400000US25025050400","Census Tract 504, Suffolk County, Massachusetts","2472","280"
"1400000US25005631700","Census Tract 6317, Bristol County, Massachusetts","6824","515"
"1400000US25017351403","Census Tract 3514.03, Middlesex County, Massachusetts","4224","357"
"1400000US25027731500","Census Tract 7315, Worcester County, Massachusetts","4648","641"
"1400000US25021417400","Census Tract 4174, Norfolk County, Massachusetts","2483","207"
"1400000US25017383901","Census Tract 3839.01, Middlesex County, Massachusetts","8192","367"
"1400000US25027757400","Census Tract 7574, Worcester County, Massachusetts","2675","229"
"1400000US25001013200","Census Tract 132, Barnstable County, Massachusetts","4560","398"
"1400000US25027748100","Census Tract 7481, Worcester County, Massachusetts","3242","17"
"1400000US25021417200","Census Tract 4172, Norfolk County, Massachusetts","8132","474"
"1400000US25025010701","Census Tract 107.01, Suffolk County, Massachusetts","2568","246"
"1400000US25009206900","Census Tract 2069, Essex County, Massachusetts","4170","640"
"1400000US25009250600","Census Tract 2506, Essex County, Massachusetts","5445","482"
"1400000US25027740200","Census Tract 7402, Worcester County, Massachusetts","3332","185"
"1400000US25025120301","Census Tract 1203.01, Suffolk County, Massachusetts","5570","506"
"1400000US25027728200","Census Tract 7282, Worcester County, Massachusetts","4238","200"
"1400000US25013800101","Census Tract 8001.01, Hampden County, Massachusetts","3787","263"
"1400000US25027731202","Census Tract 7312.02, Worcester County, Massachusetts","1518","243"
"1400000US25019950200","Census Tract 9502, Nantucket County, Massachusetts","5220","495"
"1400000US25025100200","Census Tract 1002, Suffolk County, Massachusetts","3440","311"
"1400000US25027726100","Census Tract 7261, Worcester County, Massachusetts","6208","374"
"1400000US25017353000","Census Tract 3530, Middlesex County, Massachusetts","3770","323"
"1400000US25025091600","Census Tract 916, Suffolk County, Massachusetts","3106","349"
"1400000US25021417802","Census Tract 4178.02, Norfolk County, Massachusetts","3215","261"
"1400000US25027737200","Census Tract 7372, Worcester County, Massachusetts","2077","183"
"1400000US25027744200","Census Tract 7442, Worcester County, Massachusetts","7181","437"
"1400000US25005640800","Census Tract 6408, Bristol County, Massachusetts","3977","346"
"1400000US25003900800","Census Tract 9008, Berkshire County, Massachusetts","4637","310"
"1400000US25025080801","Census Tract 808.01, Suffolk County, Massachusetts","4517","508"
"1400000US25017327101","Census Tract 3271.01, Middlesex County, Massachusetts","4052","257"
"1400000US25005617102","Census Tract 6171.02, Bristol County, Massachusetts","4288","214"
"1400000US25009251000","Census Tract 2510, Essex County, Massachusetts","1913","224"
"1400000US25001015100","Census Tract 151, Barnstable County, Massachusetts","3419","243"
"1400000US25011040400","Census Tract 404, Franklin County, Massachusetts","3425","173"
"1400000US25023507101","Census Tract 5071.01, Plymouth County, Massachusetts","5625","287"
"1400000US25025081800","Census Tract 818, Suffolk County, Massachusetts","3489","345"
"1400000US25015820801","Census Tract 8208.01, Hampshire County, Massachusetts","5583","502"
"1400000US25005652600","Census Tract 6526, Bristol County, Massachusetts","2750","376"
"1400000US25017358700","Census Tract 3587, Middlesex County, Massachusetts","5334","214"
"1400000US25025140105","Census Tract 1401.05, Suffolk County, Massachusetts","4063","307"
"1400000US25027731203","Census Tract 7312.03, Worcester County, Massachusetts","5781","615"
"1400000US25015821200","Census Tract 8212, Hampshire County, Massachusetts","2378","278"
"1400000US25025120600","Census Tract 1206, Suffolk County, Massachusetts","2447","326"
"1400000US25025170100","Census Tract 1701, Suffolk County, Massachusetts","7759","553"
"1400000US25025000602","Census Tract 6.02, Suffolk County, Massachusetts","3935","375"
"1400000US25017353900","Census Tract 3539, Middlesex County, Massachusetts","6117","532"
"1400000US25021415102","Census Tract 4151.02, Norfolk County, Massachusetts","8474","338"
"1400000US25009206300","Census Tract 2063, Essex County, Massachusetts","4557","364"
"1400000US25017382601","Census Tract 3826.01, Middlesex County, Massachusetts","4748","312"
"1400000US25013811600","Census Tract 8116, Hampden County, Massachusetts","3693","442"
"1400000US25005655200","Census Tract 6552, Bristol County, Massachusetts","5200","347"
"1400000US25009222100","Census Tract 2221, Essex County, Massachusetts","3713","16"
"1400000US25017368102","Census Tract 3681.02, Middlesex County, Massachusetts","3846","255"
"1400000US25015820102","Census Tract 8201.02, Hampshire County, Massachusetts","3501","283"
"1400000US25017336300","Census Tract 3363, Middlesex County, Massachusetts","6463","303"
"1400000US25027740101","Census Tract 7401.01, Worcester County, Massachusetts","5884","274"
"1400000US25009268400","Census Tract 2684, Essex County, Massachusetts","4383","324"
"1400000US25009251200","Census Tract 2512, Essex County, Massachusetts","1466","217"
"1400000US25025081500","Census Tract 815, Suffolk County, Massachusetts","2616","281"
"1400000US25027709400","Census Tract 7094, Worcester County, Massachusetts","4781","582"
"1400000US25025091500","Census Tract 915, Suffolk County, Massachusetts","5048","534"
"1400000US25003900500","Census Tract 9005, Berkshire County, Massachusetts","3328","264"
"1400000US25017383600","Census Tract 3836, Middlesex County, Massachusetts","6274","413"
"1400000US25005640400","Census Tract 6404, Bristol County, Massachusetts","2693","349"
"1400000US25011041300","Census Tract 413, Franklin County, Massachusetts","4604","277"
"1400000US25017339500","Census Tract 3395, Middlesex County, Massachusetts","5574","389"
"1400000US25021413200","Census Tract 4132, Norfolk County, Massachusetts","6590","362"
"1400000US25017368400","Census Tract 3684, Middlesex County, Massachusetts","8454","562"
"1400000US25005650900","Census Tract 6509, Bristol County, Massachusetts","2991","276"
"1400000US25023501201","Census Tract 5012.01, Plymouth County, Massachusetts","4062","146"
"1400000US25013813205","Census Tract 8132.05, Hampden County, Massachusetts","7115","420"
"1400000US25017353102","Census Tract 3531.02, Middlesex County, Massachusetts","4806","345"
"1400000US25013812600","Census Tract 8126, Hampden County, Massachusetts","6543","370"
"1400000US25005617101","Census Tract 6171.01, Bristol County, Massachusetts","4963","216"
"1400000US25017358600","Census Tract 3586, Middlesex County, Massachusetts","6021","272"
"1400000US25017333400","Census Tract 3334, Middlesex County, Massachusetts","6038","335"
"1400000US25005651800","Census Tract 6518, Bristol County, Massachusetts","1851","256"
"1400000US25013813101","Census Tract 8131.01, Hampden County, Massachusetts","5933","218"
"1400000US25027731204","Census Tract 7312.04, Worcester County, Massachusetts","2094","280"
"1400000US25017316300","Census Tract 3163, Middlesex County, Massachusetts","9440","583"
"1400000US25025000202","Census Tract 2.02, Suffolk County, Massachusetts","4272","453"
"1400000US25017358400","Census Tract 3584, Middlesex County, Massachusetts","5263","218"
"1400000US25009217500","Census Tract 2175, Essex County, Massachusetts","6307","323"
"1400000US25003934300","Census Tract 9343, Berkshire County, Massachusetts","1965","172"
"1400000US25013810414","Census Tract 8104.14, Hampden County, Massachusetts","7261","381"
"1400000US25021412200","Census Tract 4122, Norfolk County, Massachusetts","3970","223"
"1400000US25025120400","Census Tract 1204, Suffolk County, Massachusetts","6519","495"
"1400000US25025051200","Census Tract 512, Suffolk County, Massachusetts","2891","341"
"1400000US25027713100","Census Tract 7131, Worcester County, Massachusetts","8043","19"
"1400000US25017361300","Census Tract 3613, Middlesex County, Massachusetts","6376","321"
"1400000US25021442201","Census Tract 4422.01, Norfolk County, Massachusetts","4069","172"
"1400000US25009207000","Census Tract 2070, Essex County, Massachusetts","2535","435"
"1400000US25003900100","Census Tract 9001, Berkshire County, Massachusetts","2871","282"
"1400000US25003931100","Census Tract 9311, Berkshire County, Massachusetts","1744","98"
"1400000US25023506204","Census Tract 5062.04, Plymouth County, Massachusetts","5190","536"
"1400000US25023530700","Census Tract 5307, Plymouth County, Massachusetts","4995","370"
"1400000US25009261101","Census Tract 2611.01, Essex County, Massachusetts","4555","214"
"1400000US25021404201","Census Tract 4042.01, Norfolk County, Massachusetts","3714","181"
"1400000US25017336401","Census Tract 3364.01, Middlesex County, Massachusetts","4892","311"
"1400000US25019990000","Census Tract 9900, Nantucket County, Massachusetts","0","12"
"1400000US25021406101","Census Tract 4061.01, Norfolk County, Massachusetts","6035","222"
"1400000US25027728400","Census Tract 7284, Worcester County, Massachusetts","5089","280"
"1400000US25017364102","Census Tract 3641.02, Middlesex County, Massachusetts","4902","277"
"1400000US25013801503","Census Tract 8015.03, Hampden County, Massachusetts","4234","368"
"1400000US25009261000","Census Tract 2610, Essex County, Massachusetts","3738","312"
"1400000US25005985600","Census Tract 9856, Bristol County, Massachusetts","5390","351"
"1400000US25025010404","Census Tract 104.04, Suffolk County, Massachusetts","5223","395"
"1400000US25017387100","Census Tract 3871, Middlesex County, Massachusetts","4171","146"
"1400000US25005652000","Census Tract 6520, Bristol County, Massachusetts","2702","324"
"1400000US25017366201","Census Tract 3662.01, Middlesex County, Massachusetts","3625","133"
"1400000US25017358100","Census Tract 3581, Middlesex County, Massachusetts","5456","234"
"1400000US25009205100","Census Tract 2051, Essex County, Massachusetts","5227","579"
"1400000US25025091700","Census Tract 917, Suffolk County, Massachusetts","3214","349"
"1400000US25009250900","Census Tract 2509, Essex County, Massachusetts","2155","246"
"1400000US25017316500","Census Tract 3165, Middlesex County, Massachusetts","5630","401"
"1400000US25009221300","Census Tract 2213, Essex County, Massachusetts","4436","359"
"1400000US25021413500","Census Tract 4135, Norfolk County, Massachusetts","4642","298"
"1400000US25017383101","Census Tract 3831.01, Middlesex County, Massachusetts","3686","448"
"1400000US25025020301","Census Tract 203.01, Suffolk County, Massachusetts","2160","188"
"1400000US25009210700","Census Tract 2107, Essex County, Massachusetts","4490","357"
"1400000US25009268200","Census Tract 2682, Essex County, Massachusetts","6554","438"
"1400000US25025981100","Census Tract 9811, Suffolk County, Massachusetts","470","137"
"1400000US25017374500","Census Tract 3745, Middlesex County, Massachusetts","4616","221"
"1400000US25025000802","Census Tract 8.02, Suffolk County, Massachusetts","6658","472"
"1400000US25003921300","Census Tract 9213, Berkshire County, Massachusetts","4662","324"
"1400000US25023530801","Census Tract 5308.01, Plymouth County, Massachusetts","6387","457"
"1400000US25025980101","Census Tract 9801.01, Suffolk County, Massachusetts","405","506"
"1400000US25017352900","Census Tract 3529, Middlesex County, Massachusetts","3056","343"
"1400000US25005613100","Census Tract 6131, Bristol County, Massachusetts","6784","407"
"1400000US25027719100","Census Tract 7191, Worcester County, Massachusetts","8052","18"
"1400000US25005655400","Census Tract 6554, Bristol County, Massachusetts","3396","244"
"1400000US25023521202","Census Tract 5212.02, Plymouth County, Massachusetts","3660","221"
"1400000US25027757100","Census Tract 7571, Worcester County, Massachusetts","4325","307"
"1400000US25021422200","Census Tract 4222, Norfolk County, Massachusetts","7694","443"
"1400000US25027706100","Census Tract 7061, Worcester County, Massachusetts","4642","20"
"1400000US25021420202","Census Tract 4202.02, Norfolk County, Massachusetts","6699","640"
"1400000US25025081100","Census Tract 811, Suffolk County, Massachusetts","4088","287"
"1400000US25017363202","Census Tract 3632.02, Middlesex County, Massachusetts","3887","166"
"1400000US25003935200","Census Tract 9352, Berkshire County, Massachusetts","4991","293"
"1400000US25005651300","Census Tract 6513, Bristol County, Massachusetts","1982","201"
"1400000US25021420100","Census Tract 4201, Norfolk County, Massachusetts","8604","466"
"1400000US25013812104","Census Tract 8121.04, Hampden County, Massachusetts","4608","318"
"1400000US25027733102","Census Tract 7331.02, Worcester County, Massachusetts","2407","221"
"1400000US25003933300","Census Tract 9333, Berkshire County, Massachusetts","1312","133"
"1400000US25017339400","Census Tract 3394, Middlesex County, Massachusetts","3457","274"
"1400000US25017357400","Census Tract 3574, Middlesex County, Massachusetts","2344","125"
"1400000US25005631600","Census Tract 6316, Bristol County, Massachusetts","3879","399"
"1400000US25027742402","Census Tract 7424.02, Worcester County, Massachusetts","4174","341"
"1400000US25003900300","Census Tract 9003, Berkshire County, Massachusetts","2671","346"
"1400000US25013801602","Census Tract 8016.02, Hampden County, Massachusetts","4767","316"
"1400000US25005631200","Census Tract 6312, Bristol County, Massachusetts","7897","484"
"1400000US25017352600","Census Tract 3526, Middlesex County, Massachusetts","2602","265"
"1400000US25009251300","Census Tract 2513, Essex County, Massachusetts","3610","425"
"1400000US25025110301","Census Tract 1103.01, Suffolk County, Massachusetts","2720","222"
"1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts","5953","432"
"1400000US25005650201","Census Tract 6502.01, Bristol County, Massachusetts","3049","250"
"1400000US25027729100","Census Tract 7291, Worcester County, Massachusetts","5781","298"
"1400000US25023540102","Census Tract 5401.02, Plymouth County, Massachusetts","2659","166"
"1400000US25025170701","Census Tract 1707.01, Suffolk County, Massachusetts","2114","191"
"1400000US25023510400","Census Tract 5104, Plymouth County, Massachusetts","3579","327"
"1400000US25017335100","Census Tract 3351, Middlesex County, Massachusetts","5709","324"
"1400000US25023540103","Census Tract 5401.03, Plymouth County, Massachusetts","4675","184"
"1400000US25027746100","Census Tract 7461, Worcester County, Massachusetts","6068","19"
"1400000US25025071201","Census Tract 712.01, Suffolk County, Massachusetts","3734","418"
"1400000US25005630400","Census Tract 6304, Bristol County, Massachusetts","4988","340"
"1400000US25013811700","Census Tract 8117, Hampden County, Massachusetts","2030","346"
"1400000US25017340000","Census Tract 3400, Middlesex County, Massachusetts","2525","208"
"1400000US25013812300","Census Tract 8123, Hampden County, Massachusetts","5522","602"
"1400000US25027738202","Census Tract 7382.02, Worcester County, Massachusetts","6688","290"
"1400000US25009210500","Census Tract 2105, Essex County, Massachusetts","6193","368"
"1400000US25001011400","Census Tract 114, Barnstable County, Massachusetts","2891","250"
"1400000US25017373800","Census Tract 3738, Middlesex County, Massachusetts","5930","433"
"1400000US25015822606","Census Tract 8226.06, Hampshire County, Massachusetts","3526","227"
"1400000US25025060200","Census Tract 602, Suffolk County, Massachusetts","2295","220"
"1400000US25001010700","Census Tract 107, Barnstable County, Massachusetts","3078","271"
"1400000US25001014500","Census Tract 145, Barnstable County, Massachusetts","5613","580"
"1400000US25027745100","Census Tract 7451, Worcester County, Massachusetts","5951","19"
"1400000US25017356601","Census Tract 3566.01, Middlesex County, Massachusetts","4625","328"
"1400000US25005631100","Census Tract 6311, Bristol County, Massachusetts","7704","511"
"1400000US25025061200","Census Tract 612, Suffolk County, Massachusetts","4356","372"
"1400000US25017317301","Census Tract 3173.01, Middlesex County, Massachusetts","2609","194"
"1400000US25021417602","Census Tract 4176.02, Norfolk County, Massachusetts","5057","323"
"1400000US25017353800","Census Tract 3538, Middlesex County, Massachusetts","4694","463"
"1400000US25005611101","Census Tract 6111.01, Bristol County, Massachusetts","5199","273"
"1400000US25027732700","Census Tract 7327, Worcester County, Massachusetts","3555","387"
"1400000US25021400700","Census Tract 4007, Norfolk County, Massachusetts","3477","296"
"1400000US25021400200","Census Tract 4002, Norfolk County, Massachusetts","6251","588"
"1400000US25023525104","Census Tract 5251.04, Plymouth County, Massachusetts","6477","488"
"1400000US25025000601","Census Tract 6.01, Suffolk County, Massachusetts","3996","337"
"1400000US25017354400","Census Tract 3544, Middlesex County, Massachusetts","1837","178"
"1400000US25005651900","Census Tract 6519, Bristol County, Massachusetts","1743","214"
"1400000US25027727100","Census Tract 7271, Worcester County, Massachusetts","4870","23"
"1400000US25017352700","Census Tract 3527, Middlesex County, Massachusetts","2230","269"
"1400000US25017315100","Census Tract 3151, Middlesex County, Massachusetts","5896","280"
"1400000US25017311600","Census Tract 3116, Middlesex County, Massachusetts","5790","399"
"1400000US25021422600","Census Tract 4226, Norfolk County, Massachusetts","7091","516"
"1400000US25005644102","Census Tract 6441.02, Bristol County, Massachusetts","5307","276"
"1400000US25013810403","Census Tract 8104.03, Hampden County, Massachusetts","4018","357"
"1400000US25009260900","Census Tract 2609, Essex County, Massachusetts","5188","387"
"1400000US25009260200","Census Tract 2602, Essex County, Massachusetts","3666","310"
"1400000US25017337300","Census Tract 3373, Middlesex County, Massachusetts","5827","272"
"1400000US25013800102","Census Tract 8001.02, Hampden County, Massachusetts","4475","575"
"1400000US25023530802","Census Tract 5308.02, Plymouth County, Massachusetts","4479","391"
"1400000US25015821700","Census Tract 8217, Hampshire County, Massachusetts","3602","244"
"1400000US25023510800","Census Tract 5108, Plymouth County, Massachusetts","7013","911"
"1400000US25005651002","Census Tract 6510.02, Bristol County, Massachusetts","3986","223"
"1400000US25017332200","Census Tract 3322, Middlesex County, Massachusetts","9299","369"
"1400000US25017333600","Census Tract 3336, Middlesex County, Massachusetts","8509","599"
"1400000US25015822601","Census Tract 8226.01, Hampshire County, Massachusetts","2025","179"
"1400000US25017382500","Census Tract 3825, Middlesex County, Massachusetts","4917","429"
"1400000US25001013100","Census Tract 131, Barnstable County, Massachusetts","5323","507"
"1400000US25017350200","Census Tract 3502, Middlesex County, Massachusetts","6434","591"
"1400000US25005985500","Census Tract 9855, Bristol County, Massachusetts","5352","377"
"1400000US25023544100","Census Tract 5441, Plymouth County, Massachusetts","5908","300"
"1400000US25009213100","Census Tract 2131, Essex County, Massachusetts","8270","21"
"1400000US25023502200","Census Tract 5022, Plymouth County, Massachusetts","5997","330"
"1400000US25017337202","Census Tract 3372.02, Middlesex County, Massachusetts","4869","250"
"1400000US25017356500","Census Tract 3565, Middlesex County, Massachusetts","7313","442"
"1400000US25013813601","Census Tract 8136.01, Hampden County, Massachusetts","8264","293"
"1400000US25021422501","Census Tract 4225.01, Norfolk County, Massachusetts","5164","393"
"1400000US25027735100","Census Tract 7351, Worcester County, Massachusetts","6761","293"
"1400000US25013800201","Census Tract 8002.01, Hampden County, Massachusetts","7031","639"
"1400000US25013812002","Census Tract 8120.02, Hampden County, Massachusetts","4561","383"
"1400000US25027710600","Census Tract 7106, Worcester County, Massachusetts","7208","733"
"1400000US25023511600","Census Tract 5116, Plymouth County, Massachusetts","6687","592"
"1400000US25001010306","Census Tract 103.06, Barnstable County, Massachusetts","2462","239"
"1400000US25001012700","Census Tract 127, Barnstable County, Massachusetts","4142","403"
"1400000US25009205900","Census Tract 2059, Essex County, Massachusetts","4655","489"
"1400000US25001012601","Census Tract 126.01, Barnstable County, Massachusetts","3107","285"
"1400000US25025030100","Census Tract 301, Suffolk County, Massachusetts","2334","182"
"1400000US25013811102","Census Tract 8111.02, Hampden County, Massachusetts","6023","434"
"1400000US25009270100","Census Tract 2701, Essex County, Massachusetts","6298","24"
"1400000US25025051000","Census Tract 510, Suffolk County, Massachusetts","4871","454"
"1400000US25017382602","Census Tract 3826.02, Middlesex County, Massachusetts","4480","189"
"1400000US25025010801","Census Tract 108.01, Suffolk County, Massachusetts","2951","279"
"1400000US25025100300","Census Tract 1003, Suffolk County, Massachusetts","4106","430"
"1400000US25017361200","Census Tract 3612, Middlesex County, Massachusetts","7201","344"
"1400000US25011040300","Census Tract 403, Franklin County, Massachusetts","2997","17"
"1400000US25025040401","Census Tract 404.01, Suffolk County, Massachusetts","2953","280"
"1400000US25027732802","Census Tract 7328.02, Worcester County, Massachusetts","4093","404"
"1400000US25001010800","Census Tract 108, Barnstable County, Massachusetts","4548","328"
"1400000US25017370300","Census Tract 3703, Middlesex County, Massachusetts","5756","448"
"1400000US25005600100","Census Tract 6001, Bristol County, Massachusetts","3984","291"
"1400000US25013802601","Census Tract 8026.01, Hampden County, Massachusetts","7555","724"
"1400000US25009210600","Census Tract 2106, Essex County, Massachusetts","4893","389"
"1400000US25017301102","Census Tract 3011.02, Middlesex County, Massachusetts","5313","190"
"1400000US25023530500","Census Tract 5305, Plymouth County, Massachusetts","5224","622"
"1400000US25027737100","Census Tract 7371, Worcester County, Massachusetts","4727","329"
