,default,default,default,A,A,A,B,B,B,C,C,C,D,D,D,E,E,E,O,O,O,default-bidirectional,default-bidirectional,default-bidirectional,A-bidirectional,A-bidirectional,A-bidirectional,B-bidirectional,B-bidirectional,B-bidirectional,C-bidirectional,C-bidirectional,C-bidirectional,D-bidirectional,D-bidirectional,D-bidirectional,E-bidirectional,E-bidirectional,E-bidirectional,O-bidirectional,O-bidirectional,O-bidirectional,N,N,N,original,original,original,P,P,P,P-bidirectional,P-bidirectional,P-bidirectional,P-bidirectional,Q-bidirectional,Q-bidirectional,Q-bidirectional,Q-bidirectional,R-bidirectional,R-bidirectional,R-bidirectional,S-bidirectional,S-bidirectional,S-bidirectional,T-bidirectional,T-bidirectional,T-bidirectional,U-bidirectional,U-bidirectional,U-bidirectional,V-bidirectional,V-bidirectional,V-bidirectional,V-bidirectional,W-bidirectional,W-bidirectional,W-bidirectional,W-bidirectional,X-bidirectional,X-bidirectional,X-bidirectional,X-bidirectional,X-bidirectional,Y-bidirectional,Y-bidirectional,Y-bidirectional,Y-bidirectional,Y-bidirectional,Z-bidirectional,Z-bidirectional,Z-bidirectional,Z-bidirectional,Z-bidirectional
rnn_bidirectional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
max_length,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,50,50,50,50,50,50,50,50,50,60,60,60,70,70,70,70,84,84,84,84,60,60,60,60,60,60,60,60,60,60,72,72,72,72,72
rnn_layers,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
rnn_size,128,128,128,128,128,128,256,256,256,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,256,256,256,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,256,256,256,256,256,256,128,128,128,128,128,128,128,128,128,128,128,128,128,256,256,256,256,256,256,256,256,256,256
dropout,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
dim_embeddings,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,50,50,50,50,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,64,64,64,128,128,128,100,100,100,100,100,100,128,128,128,128,128,128,128,128,128,128,128,128,128,100,100,100,100,100,100,100,100,100,100
temperature,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.8,0.8,0.8,0.9,1,0.8,0.9,1,1.1,0.8,0.9,1,1.1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,0.8,0.9,1,1.1,0.8,0.9,1,1.1,0.8,0.9,1,1.1,1.2,0.8,0.9,1,1.1,1.2,0.8,0.9,1,1.1,1.2
batch size,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modifies original by not being bidirectional,,,,,,training  in progress on matlaber4,,PID 14858,modifies original with dropout,,,,modifies original with increased max_length,,,,modifies original with smaller embedding,,,modifies original with RNN layers,,,finished training with final loss of 0.668,,,it died twice!!,,,,,,,,,,,combines successful Q-bi and P-bi parameter changes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,model trained...,model trained...,model trained...,model trained...,model trained...,model trained...,,,,,,,,,,,,,,,,,,,,,,final training loss,0.63,,name:,synthetic_trajectories_,,,,,done training,,,,training  on matlaber11,PID,1812,1812,,,,,,,,,,training again on matlaber11,PID,13715,training on matlaber11,killed?!,,,killed after 25 epochs,,,,killed after 29 epochs,,,,,killed after 6 epochs,loss: 0.71,,,,,,,,
